,count/time,eventName,timestamp,username
0,100,scroll_up event,,malay
1,400,scroll_down event,,malay
2,30,star click event,,malay
3,2,click event,,lll
5,949,time event,,lll
6,858,time event,,lll
7,566,time event,,lll
8,146,time event,,lll
9,350,time event,,lll
10,250,time event,,lll
11,114,time event,,lll
12,146,time event,,lll
13,250,time event,,lll
14,133,time event,,lll
15,85,time event,,lll
16,383,time event,,lll
17,499,time event,,lll
18,81,time event,,lll
19,1241,scroll_down event,2018-09-18 23:48:43.058357,lll
20,266,time event,,lll
21,3843,time event,,lll
22,1,store_token,,lll
23,1891,time event,,lll
24,2133,time event,,lll
25,47,time event,,lll
26,1017,time event,,lll
27,1142,time event,,lll
28,467,time event,,lll
29,416,time event,,lll
30,52,time event,,lll
31,15,time event,,lll
32,76,time event,,lll
33,85,time event,,lll
34,500,time event,,lll
35,183,time event,,lll
36,1150,time event,,lll
37,401,time event,,lll
38,34,time event,,lll
39,155,time event,,lll
40,49,time event,,lll
42,102,star click event,2018-09-18 23:48:30.819754,lll
43,618,time event,,lll
44,674,time event,,lll
45,751,scroll_up event,2018-09-18 23:48:46.467543,lll
46,869,time event,,lll
47,1125,time event,,lll
48,1626,time event,,lll
49,1620,time event,,lll
50,460,time event,,lll
52,898,time event,,lll
53,1425,time event,,lll
54,15,time event,,lll
55,4183,time event,,lll
56,16,time event,,lll
57,424,time event,,lll
58,423,time event,,lll
59,127,time event,,lll
60,100,time event,,lll
62,1359,time event,,lll
63,2441,time event,,lll
64,307,time event,,lll
65,882,time event,,lll
67,625,time event,,lll
68,2378,time event,,lll
69,548,time event,,lll
71,751,time event,,lll
72,2820,time event,,lll
73,3852,time event,,lll
74,899,time event,,lll
75,32,time event,,lll
76,369,time event,,lll
77,808,time event,,lll
78,2213,time event,,lll
79,857,time event,,lll
80,737,time event,,lll
81,300,time event,,lll
82,65,time event,,lll
83,65,time event,,lll
84,64,time event,,lll
85,64,time event,,lll
86,50,time event,,lll
87,132,time event,,lll
88,99,time event,,lll
89,32,time event,,lll
90,50,time event,,lll
91,98,time event,,lll
92,31,time event,,lll
93,66,time event,,lll
94,117,time event,,lll
95,5398,time event,,lll
96,506,time event,,lll
97,415,time event,,lll
98,245,time event,,lll
99,147,time event,,lll
100,50,star click event,,lll
102,298,time event,,lll
103,1367,time event,,lll
104,777,time event,,lll
105,7,time event,,lll
106,748,time event,,lll
107,1199,time event,,lll
108,1497,time event,,lll
109,1187,time event,,lll
110,3977,time event,,lll
111,67,time event,,lll
112,60,time event,,lll
113,428,time event,,lll
114,4215,time event,,lll
115,401,time event,,lll
116,1065,time event,,lll
117,1684,time event,,lll
118,549,time event,,lll
119,531,time event,,lll
120,2549,time event,,lll
121,999,time event,,lll
122,188,time event,,lll
123,134,time event,,lll
124,68,time event,,lll
125,569,time event,,lll
126,3,vote click event,2018-09-18 23:48:41.035044,lll
127,2314,time event,,lll
128,198,time event,,lll
129,501,time event,,lll
130,332,time event,,lll
131,2718,time event,,lll
132,2936,time event,,lll
133,838,time event,,lll
134,2988,time event,,lll
135,916,time event,,lll
136,33,time event,,lll
137,32,time event,,lll
138,2848,time event,2018-09-18 23:48:27.023565,lll
139,3618,time event,2018-09-18 23:48:30.854423,lll
140,1651,time event,2018-09-18 23:48:32.575900,lll
141,1220,time event,2018-09-18 23:48:33.800471,lll
142,432,time event,2018-09-18 23:48:34.779433,lll
143,788,time event,2018-09-18 23:48:35.602199,lll
144,386,time event,2018-09-18 23:48:35.975818,lll
145,1222,time event,2018-09-18 23:48:37.386159,lll
146,485,time event,2018-09-18 23:48:38.415056,lll
147,4453,time event,2018-09-18 23:48:43.586564,lll
148,432,time event,2018-09-18 23:48:45.540799,lll
149,249,time event,2018-09-18 23:48:46.156810,lll
150,12,time event,2018-09-18 23:48:47.221208,lll
151,119,time event,2018-09-18 23:48:48.723702,lll
152,332,time event,2018-09-18 23:48:49.710605,lll
153,1104,scroll_down event,2018-09-19 13:52:02.549488,aaa
154,336,scroll_up event,2018-09-19 13:52:02.734569,aaa
156,4777,time event,2018-09-19 13:48:22.062120,aaa
157,3,star click event,2018-09-20 00:39:06.625472,aaa
158,3928,time event,2018-09-19 13:48:25.992960,aaa
159,138,time event,2018-09-19 13:48:26.194458,aaa
161,2702,time event,2018-09-19 13:48:48.922593,aaa
162,3826,time event,2018-09-19 13:48:52.895780,aaa
163,799,time event,2018-09-19 13:48:53.504179,aaa
165,180,time event,2018-09-19 13:48:56.416474,aaa
167,1,vote click event,2018-09-19 13:49:09.724799,aaa
168,7029,time event,2018-09-19 13:49:13.765470,aaa
169,429,time event,2018-09-19 13:49:14.196500,aaa
170,9993,time event,2018-09-19 13:49:24.412648,aaa
171,7637,time event,2018-09-19 13:49:32.018992,aaa
172,2821,time event,2018-09-19 13:49:34.802908,aaa
173,878,time event,2018-09-19 13:49:35.737390,aaa
174,1831,time event,2018-09-19 13:49:37.517749,aaa
175,1345,time event,2018-09-19 13:49:40.206481,aaa
176,2,search event,2018-09-19 13:49:54.202410,aaa
177,1584,time event,2018-09-19 13:49:46.322389,aaa
